query_protein,train_protein,similarity_score
protein_0005,protein_0106,0.14285714285714285
protein_0005,protein_0107,0.16326530612244897
protein_0005,protein_0108,0.21978021978021978
protein_0005,protein_0109,0.16666666666666666
protein_0005,protein_0110,0.13541666666666666
protein_0005,protein_0111,0.16666666666666666
protein_0005,protein_0112,0.15
protein_0005,protein_0113,0.17708333333333334
protein_0005,protein_0114,0.10752688172043011
protein_0005,protein_0115,0.20652173913043478
protein_0005,protein_0116,0.13636363636363635
protein_0005,protein_0117,0.13636363636363635
protein_0005,protein_0118,0.17857142857142858
protein_0005,protein_0119,0.13592233009708737
protein_0005,protein_0120,0.1326530612244898
protein_0005,protein_0121,0.1326530612244898
protein_0005,protein_0122,0.17204301075268819
protein_0005,protein_0123,0.1839080459770115
protein_0005,protein_0125,0.1650485436893204
protein_0005,protein_0126,0.16
protein_0005,protein_0127,0.17582417582417584
protein_0005,protein_0128,0.1326530612244898
protein_0005,protein_0129,0.15789473684210525
protein_0005,protein_0130,0.13793103448275862
protein_0005,protein_0131,0.13095238095238096
protein_0005,protein_0132,0.14150943396226415
protein_0005,protein_0133,0.14150943396226415
protein_0005,protein_0134,0.10638297872340426
protein_0005,protein_0135,0.1782178217821782
protein_0005,protein_0136,0.14516129032258066
protein_0005,protein_0137,0.140625
protein_0005,protein_0138,0.140625
protein_0005,protein_0139,0.1411764705882353
protein_0005,protein_0141,0.1568627450980392
protein_0005,protein_0142,0.16842105263157894
protein_0005,protein_0143,0.1958762886597938
protein_0005,protein_0144,0.20202020202020202
protein_0005,protein_0145,0.14893617021276595
protein_0005,protein_0146,0.12941176470588237
protein_0005,protein_0147,0.13402061855670103
protein_0005,protein_0149,0.19047619047619047
protein_0005,protein_0150,0.0967741935483871
protein_0005,protein_0151,0.12087912087912088
protein_0005,protein_0153,0.17777777777777778
protein_0005,protein_0154,0.17777777777777778
protein_0005,protein_0155,0.15
protein_0005,protein_0156,0.18018018018018017
protein_0005,protein_0157,0.23809523809523808
protein_0005,protein_0158,0.14285714285714285
protein_0005,protein_0159,0.18
protein_0005,protein_0160,0.1348314606741573
protein_0005,protein_0161,0.11475409836065574
protein_0005,protein_0162,0.14893617021276595
protein_0005,protein_0163,0.11214953271028037
protein_0005,protein_0164,0.16326530612244897
protein_0005,protein_0165,0.16470588235294117
protein_0005,protein_0166,0.16326530612244897
protein_0005,protein_0167,0.16535433070866143
protein_0005,protein_0168,0.16535433070866143
protein_0005,protein_0169,0.12698412698412698
protein_0005,protein_0170,0.13978494623655913
protein_0005,protein_0171,0.15555555555555556
protein_0005,protein_0174,0.1568627450980392
protein_0005,protein_0175,0.13333333333333333
protein_0005,protein_0177,0.16666666666666666
protein_0005,protein_0178,0.2
protein_0005,protein_0179,0.16521739130434782
protein_0005,protein_0180,0.17525773195876287
protein_0005,protein_0182,0.2
protein_0005,protein_0183,0.1509433962264151
protein_0005,protein_0184,0.17204301075268819
protein_0005,protein_0185,0.24175824175824176
protein_0005,protein_0186,0.13333333333333333
protein_0005,protein_0187,0.1568627450980392
protein_0005,protein_0188,0.15294117647058825
protein_0005,protein_0189,0.10227272727272728
protein_0005,protein_0190,0.1958762886597938
protein_0005,protein_0191,0.12903225806451613
protein_0005,protein_0192,0.18085106382978725
protein_0005,protein_0193,0.1188118811881188
protein_0005,protein_0194,0.14285714285714285
protein_0005,protein_0195,0.17708333333333334
protein_0005,protein_0196,0.16666666666666666
protein_0005,protein_0197,0.16666666666666666
protein_0005,protein_0198,0.13829787234042554
protein_0005,protein_0199,0.12244897959183673
protein_0005,protein_0200,0.15625
protein_0005,protein_0201,0.14414414414414414
protein_0005,protein_0202,0.19047619047619047
protein_0005,protein_0203,0.12295081967213115
protein_0005,protein_0204,0.14285714285714285
protein_0005,protein_0205,0.12264150943396226
protein_0005,protein_0206,0.1368421052631579
protein_0005,protein_0207,0.13445378151260504
protein_0005,protein_0208,0.16101694915254236
protein_0005,protein_0209,0.16666666666666666
protein_0005,protein_0210,0.15053763440860216
protein_0005,protein_0211,0.10989010989010989
protein_0005,protein_0212,0.1958762886597938
protein_0005,protein_0213,0.11224489795918367
protein_0005,protein_0214,0.16853932584269662
protein_0005,protein_0215,0.13095238095238096
protein_0005,protein_0216,0.12244897959183673
protein_0005,protein_0217,0.20238095238095238
protein_0005,protein_0218,0.12121212121212122
protein_0005,protein_0219,0.12605042016806722
protein_0005,protein_0220,0.12871287128712872
protein_0005,protein_0221,0.1595744680851064
protein_0005,protein_0222,0.2
protein_0005,protein_0224,0.14285714285714285
protein_0005,protein_0225,0.20238095238095238
protein_0005,protein_0226,0.3225806451612903
protein_0005,protein_0228,0.10204081632653061
protein_0005,protein_0229,0.23809523809523808
protein_0005,protein_0230,0.16831683168316833
protein_0005,protein_0231,0.14736842105263157
protein_0005,protein_0232,0.1511627906976744
protein_0005,protein_0233,0.13385826771653545
protein_0005,protein_0234,0.1414141414141414
protein_0005,protein_0235,0.21428571428571427
protein_0005,protein_0236,0.15789473684210525
protein_0005,protein_0237,0.15789473684210525
protein_0005,protein_0238,0.09923664122137404
protein_0005,protein_0239,0.14285714285714285
protein_0005,protein_0240,0.12087912087912088
protein_0005,protein_0241,0.14736842105263157
protein_0005,protein_0242,0.13095238095238096
protein_0005,protein_0243,0.15151515151515152
protein_0005,protein_0244,0.2261904761904762
protein_0005,protein_0245,0.17592592592592593
protein_0005,protein_0247,0.205607476635514
protein_0005,protein_0248,0.14285714285714285
protein_0005,protein_0249,0.15841584158415842
protein_0005,protein_0250,0.12371134020618557
protein_0005,protein_0251,0.2717391304347826
protein_0005,protein_0252,0.5357142857142857
protein_0005,protein_0253,0.17796610169491525
protein_0005,protein_0254,0.15384615384615385
protein_0005,protein_0256,0.18518518518518517
protein_0005,protein_0257,0.18867924528301888
protein_0005,protein_0258,0.14736842105263157
protein_0005,protein_0259,0.1839080459770115
protein_0005,protein_0260,0.1839080459770115
protein_0005,protein_0261,0.1919191919191919
protein_0005,protein_0262,0.1037037037037037
protein_0005,protein_0263,0.125
protein_0005,protein_0264,0.12222222222222222
protein_0005,protein_0265,0.12222222222222222
protein_0005,protein_0266,0.17391304347826086
protein_0005,protein_0267,0.13636363636363635
protein_0005,protein_0269,0.1206896551724138
protein_0005,protein_0270,0.16666666666666666
protein_0005,protein_0271,0.15476190476190477
protein_0005,protein_0272,0.1875
protein_0005,protein_0273,0.16666666666666666
protein_0005,protein_0274,0.14285714285714285
protein_0005,protein_0275,0.16666666666666666
protein_0005,protein_0276,0.11827956989247312
protein_0005,protein_0277,0.14285714285714285
protein_0005,protein_0278,0.15217391304347827
protein_0005,protein_0279,0.2
protein_0005,protein_0280,0.2222222222222222
protein_0005,protein_0281,0.13392857142857142
protein_0005,protein_0282,0.12903225806451613
protein_0005,protein_0283,0.0963302752293578
protein_0005,protein_0284,0.13978494623655913
protein_0005,protein_0285,0.16666666666666666
protein_0005,protein_0286,0.15476190476190477
protein_0005,protein_0287,0.09345794392523364
protein_0005,protein_0288,0.16483516483516483
protein_0005,protein_0290,0.1388888888888889
protein_0005,protein_0291,0.1619047619047619
protein_0005,protein_0292,0.14606741573033707
protein_0005,protein_0293,0.14285714285714285
protein_0005,protein_0295,0.20238095238095238
protein_0005,protein_0296,0.14285714285714285
protein_0005,protein_0297,0.1411764705882353
protein_0005,protein_0298,0.11904761904761904
protein_0005,protein_0299,0.2159090909090909
protein_0005,protein_0300,0.17857142857142858
protein_0005,protein_0301,0.17857142857142858
protein_0005,protein_0302,0.0958904109589041
protein_0005,protein_0303,0.16666666666666666
protein_0005,protein_0304,0.14942528735632185
protein_0005,protein_0305,0.1782178217821782
protein_0005,protein_0306,0.1271186440677966
protein_0005,protein_0307,0.14285714285714285
protein_0005,protein_0308,0.13333333333333333
protein_0005,protein_0309,0.18556701030927836
protein_0005,protein_0310,0.18867924528301888
protein_0005,protein_0311,0.17582417582417584
protein_0005,protein_0312,0.1368421052631579
protein_0005,protein_0313,0.24742268041237114
protein_0005,protein_0314,0.1523809523809524
protein_0005,protein_0315,0.15702479338842976
protein_0005,protein_0316,0.14285714285714285
protein_0005,protein_0317,0.1782178217821782
protein_0005,protein_0318,0.11607142857142858
protein_0005,protein_0319,0.12631578947368421
protein_0005,protein_0322,0.18478260869565216
protein_0005,protein_0323,0.10752688172043011
protein_0005,protein_0324,0.11363636363636363
protein_0005,protein_0325,0.1415929203539823
protein_0005,protein_0326,0.18823529411764706
protein_0005,protein_0327,0.1702127659574468
protein_0005,protein_0328,0.11009174311926606
protein_0005,protein_0329,0.11009174311926606
protein_0005,protein_0330,0.17708333333333334
protein_0005,protein_0331,0.19047619047619047
protein_0005,protein_0332,0.18556701030927836
protein_0005,protein_0333,0.2
protein_0005,protein_0334,0.1595744680851064
protein_0005,protein_0335,0.12727272727272726
protein_0005,protein_0336,0.14606741573033707
protein_0005,protein_0337,0.15625
protein_0005,protein_0339,0.1590909090909091
protein_0005,protein_0340,0.11538461538461539
protein_0005,protein_0341,0.12745098039215685
protein_0005,protein_0342,0.13953488372093023
protein_0005,protein_0343,0.14772727272727273
protein_0005,protein_0344,0.12371134020618557
protein_0005,protein_0345,0.14285714285714285
protein_0005,protein_0346,0.14285714285714285
protein_0005,protein_0347,0.18478260869565216
protein_0005,protein_0348,0.13114754098360656
protein_0005,protein_0349,0.12612612612612611
protein_0005,protein_0350,0.12371134020618557
protein_0005,protein_0351,0.1368421052631579
protein_0005,protein_0353,0.14414414414414414
protein_0005,protein_0354,0.2127659574468085
protein_0005,protein_0355,0.17894736842105263
protein_0005,protein_0356,0.16470588235294117
protein_0005,protein_0357,0.08333333333333333
protein_0005,protein_0358,0.12371134020618557
protein_0005,protein_0359,0.11764705882352941
protein_0005,protein_0360,0.1326530612244898
protein_0005,protein_0361,0.1623931623931624
protein_0005,protein_0362,0.20652173913043478
protein_0005,protein_0363,0.20652173913043478
protein_0005,protein_0364,0.20652173913043478
protein_0005,protein_0365,0.125
protein_0005,protein_0366,0.13636363636363635
protein_0005,protein_0367,0.21
protein_0005,protein_0368,0.25
protein_0005,protein_0370,0.12371134020618557
protein_0005,protein_0371,0.11827956989247312
protein_0005,protein_0372,0.11009174311926606
protein_0005,protein_0373,0.12280701754385964
protein_0005,protein_0375,0.12903225806451613
protein_0005,protein_0376,0.2
protein_0005,protein_0377,0.13131313131313133
protein_0005,protein_0378,0.12844036697247707
protein_0005,protein_0379,0.19791666666666666
protein_0005,protein_0380,0.19791666666666666
protein_0005,protein_0383,0.17857142857142858
protein_0005,protein_0384,0.15730337078651685
protein_0005,protein_0385,0.14285714285714285
protein_0005,protein_0386,0.1320754716981132
protein_0005,protein_0387,0.1553398058252427
protein_0005,protein_0389,0.12790697674418605
protein_0005,protein_0390,0.15789473684210525
protein_0005,protein_0391,0.14432989690721648
protein_0005,protein_0392,0.12222222222222222
protein_0005,protein_0393,0.11224489795918367
protein_0005,protein_0395,0.1827956989247312
protein_0005,protein_0396,0.13675213675213677
protein_0005,protein_0397,0.19148936170212766
protein_0005,protein_0398,0.13513513513513514
protein_0005,protein_0399,0.1326530612244898
protein_0022,protein_0000,0.23232323232323232
protein_0022,protein_0001,0.153921568627451
protein_0022,protein_0002,0.21875
protein_0022,protein_0003,0.1717171717171717
protein_0022,protein_0004,0.20202020202020202
protein_0022,protein_0006,0.14563106796116504
protein_0022,protein_0007,0.13826834104428287
protein_0022,protein_0008,0.1941747572815534
protein_0022,protein_0009,0.19607843137254902
protein_0022,protein_0010,0.13636363636363635
protein_0022,protein_0011,0.15151515151515152
protein_0022,protein_0012,0.12244897959183673
protein_0022,protein_0013,0.1797752808988764
protein_0022,protein_0014,0.1427675585284281
protein_0022,protein_0015,0.19607843137254902
protein_0022,protein_0016,0.18446601941747573
protein_0022,protein_0017,0.1450381679389313
protein_0022,protein_0018,0.1568627450980392
protein_0022,protein_0019,0.1773809523809524
protein_0022,protein_0020,0.18627450980392157
protein_0022,protein_0021,0.1978021978021978
protein_0022,protein_0023,0.641653290529695
protein_0022,protein_0024,0.1322314049586777
protein_0022,protein_0026,0.17557251908396945
protein_0022,protein_0027,0.17880333951762523
protein_0022,protein_0028,0.14423076923076922
protein_0022,protein_0029,0.1306935817805383
protein_0022,protein_0032,0.21212121212121213
protein_0022,protein_0033,0.18556701030927836
protein_0022,protein_0034,0.14018691588785046
protein_0022,protein_0035,0.13861386138613863
protein_0022,protein_0036,0.16535947712418303
protein_0022,protein_0037,0.13858695652173914
protein_0022,protein_0038,0.13858695652173914
protein_0022,protein_0040,0.13095238095238096
protein_0022,protein_0041,0.1875
protein_0022,protein_0042,0.12643678160919541
protein_0022,protein_0043,0.16
protein_0022,protein_0044,0.1485148514851485
protein_0022,protein_0047,0.17525773195876287
protein_0022,protein_0048,0.16666666666666666
protein_0022,protein_0049,0.16842105263157894
protein_0022,protein_0050,0.13793103448275862
protein_0022,protein_0051,0.14702502553626148
protein_0022,protein_0052,0.16666666666666666
protein_0022,protein_0053,0.13541666666666666
protein_0022,protein_0054,0.1440677966101695
protein_0022,protein_0056,0.1511805026656512
protein_0022,protein_0057,0.16043898615103214
protein_0022,protein_0058,0.16
protein_0022,protein_0059,0.12222222222222222
protein_0022,protein_0060,0.15192307692307694
protein_0022,protein_0061,0.14583333333333334
protein_0022,protein_0062,0.14583333333333334
protein_0022,protein_0063,0.09859154929577464
protein_0022,protein_0064,0.13043478260869565
protein_0022,protein_0065,0.15384615384615385
protein_0022,protein_0066,0.11214953271028037
protein_0022,protein_0067,0.11956521739130435
protein_0022,protein_0068,0.125
protein_0022,protein_0069,0.15463917525773196
protein_0022,protein_0071,0.11956521739130435
protein_0022,protein_0072,0.14365079365079364
protein_0022,protein_0074,0.19791666666666666
protein_0022,protein_0075,0.19072164948453607
protein_0022,protein_0077,0.14285714285714285
protein_0022,protein_0079,0.16037735849056603
protein_0022,protein_0080,0.18181818181818182
protein_0022,protein_0081,0.17708333333333334
protein_0022,protein_0083,0.1836734693877551
protein_0022,protein_0084,0.15917798676419365
protein_0022,protein_0085,0.12871287128712872
protein_0022,protein_0086,0.11926605504587157
protein_0022,protein_0087,0.1266051364365971
protein_0022,protein_0088,0.15625
protein_0022,protein_0089,0.1228921228921229
protein_0022,protein_0090,0.1228921228921229
protein_0022,protein_0091,0.168141592920354
protein_0022,protein_0092,0.168141592920354
protein_0022,protein_0093,0.17475728155339806
protein_0022,protein_0094,0.10256410256410256
protein_0022,protein_0095,0.12015810276679842
protein_0022,protein_0096,0.168141592920354
protein_0022,protein_0097,0.18018018018018017
protein_0022,protein_0098,0.18
protein_0022,protein_0099,0.13212250712250712
protein_0022,protein_0100,0.14441506939854593
protein_0022,protein_0102,0.17757009345794392
protein_0022,protein_0103,0.17346938775510204
protein_0022,protein_0104,0.15
protein_0022,protein_0105,0.11363636363636363
protein_0022,protein_0106,0.13672724448586518
protein_0022,protein_0107,0.16831683168316833
protein_0022,protein_0108,0.1827956989247312
protein_0022,protein_0109,0.1365223012281836
protein_0022,protein_0110,0.15463917525773196
protein_0022,protein_0111,0.19230769230769232
protein_0022,protein_0112,0.18446601941747573
protein_0022,protein_0113,0.18181818181818182
protein_0022,protein_0114,0.18181818181818182
protein_0022,protein_0115,0.1485148514851485
protein_0022,protein_0116,0.1441609773625584
protein_0022,protein_0117,0.1441609773625584
protein_0022,protein_0118,0.1686868686868687
protein_0022,protein_0119,0.11214953271028037
protein_0022,protein_0120,0.15053763440860216
protein_0022,protein_0121,0.15053763440860216
protein_0022,protein_0122,0.12974308300395257
protein_0022,protein_0123,0.1492063492063492
protein_0022,protein_0125,0.16666666666666666
protein_0022,protein_0126,0.20388349514563106
protein_0022,protein_0127,0.1650485436893204
protein_0022,protein_0128,0.14678899082568808
protein_0022,protein_0129,0.17647058823529413
protein_0022,protein_0130,0.13000449842555106
protein_0022,protein_0131,0.12130105160185864
protein_0022,protein_0132,0.1559633027522936
protein_0022,protein_0133,0.1559633027522936
protein_0022,protein_0134,0.18
protein_0022,protein_0135,0.19
protein_0022,protein_0136,0.11811023622047244
protein_0022,protein_0137,0.10256410256410256
protein_0022,protein_0138,0.10256410256410256
protein_0022,protein_0139,0.13917870518994113
protein_0022,protein_0141,0.11067193675889328
protein_0022,protein_0142,0.18
protein_0022,protein_0143,0.17
protein_0022,protein_0144,0.16161616161616163
protein_0022,protein_0145,0.15485789821546597
protein_0022,protein_0146,0.15384615384615385
protein_0022,protein_0147,0.15306122448979592
protein_0022,protein_0149,0.1607142857142857
protein_0022,protein_0150,0.12371134020618557
protein_0022,protein_0151,0.12631578947368421
protein_0022,protein_0153,0.14198966408268732
protein_0022,protein_0154,0.13460566228513648
protein_0022,protein_0155,0.1440677966101695
protein_0022,protein_0156,0.12280701754385964
protein_0022,protein_0157,0.21978021978021978
protein_0022,protein_0158,0.14479668271803103
protein_0022,protein_0159,0.1326530612244898
protein_0022,protein_0160,0.17475728155339806
protein_0022,protein_0161,0.13445378151260504
protein_0022,protein_0162,0.13131313131313133
protein_0022,protein_0163,0.13333333333333333
protein_0022,protein_0164,0.15053763440860216
protein_0022,protein_0165,0.15944272445820434
protein_0022,protein_0166,0.12903225806451613
protein_0022,protein_0167,0.12520661157024793
protein_0022,protein_0168,0.12520661157024793
protein_0022,protein_0169,0.11450381679389313
protein_0022,protein_0170,0.14444444444444443
protein_0022,protein_0171,0.15306122448979592
protein_0022,protein_0174,0.1574074074074074
protein_0022,protein_0175,0.17307692307692307
protein_0022,protein_0177,0.14442355889724312
protein_0022,protein_0178,0.1623931623931624
protein_0022,protein_0179,0.1623931623931624
protein_0022,protein_0180,0.19626168224299065
protein_0022,protein_0182,0.14772727272727273
protein_0022,protein_0183,0.16981132075471697
protein_0022,protein_0184,0.12244897959183673
protein_0022,protein_0185,0.2079207920792079
protein_0022,protein_0186,0.16666666666666666
protein_0022,protein_0187,0.18691588785046728
protein_0022,protein_0188,0.1380952380952381
protein_0022,protein_0189,0.10101010101010101
protein_0022,protein_0190,0.14953271028037382
protein_0022,protein_0191,0.19791666666666666
protein_0022,protein_0192,0.15625
protein_0022,protein_0193,0.11458333333333333
protein_0022,protein_0194,0.15625
protein_0022,protein_0195,0.14893617021276595
protein_0022,protein_0196,0.15841584158415842
protein_0022,protein_0197,0.1326530612244898
protein_0022,protein_0198,0.18181818181818182
protein_0022,protein_0199,0.12121212121212122
protein_0022,protein_0200,0.15841584158415842
protein_0022,protein_0201,0.1111111111111111
protein_0022,protein_0202,0.16326530612244897
protein_0022,protein_0203,0.13559322033898305
protein_0022,protein_0204,0.15713022609574334
protein_0022,protein_0205,0.12796208530805686
protein_0022,protein_0206,0.1111111111111111
protein_0022,protein_0207,0.0859375
protein_0022,protein_0208,0.1800893945550589
protein_0022,protein_0209,0.15841584158415842
protein_0022,protein_0210,0.1276595744680851
protein_0022,protein_0211,0.1407967032967033
protein_0022,protein_0212,0.16853932584269662
protein_0022,protein_0213,0.15306122448979592
protein_0022,protein_0214,0.1724137931034483
protein_0022,protein_0215,0.17777777777777778
protein_0022,protein_0216,0.1262135922330097
protein_0022,protein_0217,0.1875
protein_0022,protein_0218,0.136
protein_0022,protein_0219,0.12195121951219512
protein_0022,protein_0220,0.19801980198019803
protein_0022,protein_0221,0.1797752808988764
protein_0022,protein_0222,0.16842105263157894
protein_0022,protein_0224,0.10669665167416292
protein_0022,protein_0225,0.18681318681318682
protein_0022,protein_0226,0.17525773195876287
protein_0022,protein_0228,0.16903502974223397
protein_0022,protein_0229,0.19
protein_0022,protein_0230,0.15789473684210525
protein_0022,protein_0231,0.14583333333333334
protein_0022,protein_0232,0.14415069398545935
protein_0022,protein_0233,0.16535433070866143
protein_0022,protein_0234,0.1553398058252427
protein_0022,protein_0235,0.15547006017559437
protein_0022,protein_0236,0.15572056809170212
protein_0022,protein_0237,0.15572056809170212
protein_0022,protein_0238,0.1044776119402985
protein_0022,protein_0239,0.17894736842105263
protein_0022,protein_0240,0.17757009345794392
protein_0022,protein_0241,0.16304347826086957
protein_0022,protein_0242,0.153921568627451
protein_0022,protein_0243,0.1619047619047619
protein_0022,protein_0244,0.18721198156682028
protein_0022,protein_0245,0.13762626262626262
protein_0022,protein_0247,0.1850797902019864
protein_0022,protein_0248,0.14432989690721648
protein_0022,protein_0249,0.12903225806451613
protein_0022,protein_0250,0.22998957488706126
protein_0022,protein_0251,0.17307692307692307
protein_0022,protein_0252,0.18947368421052632
protein_0022,protein_0253,0.1810344827586207
protein_0022,protein_0254,0.20344827586206898
protein_0022,protein_0256,0.12871287128712872
protein_0022,protein_0257,0.1619047619047619
protein_0022,protein_0258,0.16
protein_0022,protein_0259,0.15346790890269152
protein_0022,protein_0260,0.15346790890269152
protein_0022,protein_0261,0.14563106796116504
protein_0022,protein_0262,0.11594202898550725
protein_0022,protein_0263,0.145985401459854
protein_0022,protein_0264,0.21
protein_0022,protein_0265,0.21
protein_0022,protein_0266,0.25664511494252873
protein_0022,protein_0267,0.24
protein_0022,protein_0269,0.15
protein_0022,protein_0270,0.10588235294117647
protein_0022,protein_0271,0.13917870518994113
protein_0022,protein_0272,0.13381410256410256
protein_0022,protein_0273,0.14148973198746956
protein_0022,protein_0274,0.15384615384615385
protein_0022,protein_0275,0.1619047619047619
protein_0022,protein_0276,0.21782178217821782
protein_0022,protein_0277,0.15670144462279295
protein_0022,protein_0278,0.15306122448979592
protein_0022,protein_0279,0.16666666666666666
protein_0022,protein_0280,0.15625
protein_0022,protein_0281,0.13043478260869565
protein_0022,protein_0282,0.11904761904761904
protein_0022,protein_0283,0.08636363636363636
protein_0022,protein_0284,0.12368421052631579
protein_0022,protein_0285,0.1
protein_0022,protein_0286,0.14603786816269285
protein_0022,protein_0287,0.19626168224299065
protein_0022,protein_0288,0.1414141414141414
protein_0022,protein_0290,0.18627450980392157
protein_0022,protein_0291,0.17349896480331262
protein_0022,protein_0292,0.15008025682182985
protein_0022,protein_0293,0.1276595744680851
protein_0022,protein_0295,0.1266051364365971
protein_0022,protein_0296,0.168141592920354
protein_0022,protein_0297,0.13389513108614232
protein_0022,protein_0298,0.1451310861423221
protein_0022,protein_0299,0.19579345385796998
protein_0022,protein_0300,0.16739130434782606
protein_0022,protein_0301,0.17177419354838708
protein_0022,protein_0302,0.10138248847926268
protein_0022,protein_0303,0.13333333333333333
protein_0022,protein_0304,0.12132156233279828
protein_0022,protein_0305,0.19387755102040816
protein_0022,protein_0306,0.15384615384615385
protein_0022,protein_0307,0.175
protein_0022,protein_0308,0.1623931623931624
protein_0022,protein_0309,0.2652014652014652
protein_0022,protein_0310,0.14705882352941177
protein_0022,protein_0311,0.17475728155339806
protein_0022,protein_0312,0.12871287128712872
protein_0022,protein_0313,0.10083128078817734
protein_0022,protein_0314,0.14705882352941177
protein_0022,protein_0315,0.13043478260869565
protein_0022,protein_0316,0.13497474747474747
protein_0022,protein_0317,0.12844036697247707
protein_0022,protein_0318,0.168141592920354
protein_0022,protein_0319,0.15151515151515152
protein_0022,protein_0322,0.17708333333333334
protein_0022,protein_0323,0.13978494623655913
protein_0022,protein_0324,0.17582417582417584
protein_0022,protein_0325,0.11485507246376811
protein_0022,protein_0326,0.17391304347826086
protein_0022,protein_0327,0.17582417582417584
protein_0022,protein_0328,0.14414414414414414
protein_0022,protein_0329,0.14414414414414414
protein_0022,protein_0330,0.20202020202020202
protein_0022,protein_0331,0.12525879917184266
protein_0022,protein_0332,0.18341167254210733
protein_0022,protein_0333,0.11102159200773445
protein_0022,protein_0334,0.1276595744680851
protein_0022,protein_0335,0.1188118811881188
protein_0022,protein_0336,0.1272892662219527
protein_0022,protein_0337,0.14456971599828744
protein_0022,protein_0339,0.15367886915549112
protein_0022,protein_0340,0.15841584158415842
protein_0022,protein_0341,0.16666666666666666
protein_0022,protein_0342,0.10989010989010989
protein_0022,protein_0343,0.13566138917262513
protein_0022,protein_0344,0.16666666666666666
protein_0022,protein_0345,0.1335314328164175
protein_0022,protein_0346,0.1335314328164175
protein_0022,protein_0347,0.15968992248062014
protein_0022,protein_0348,0.13333333333333333
protein_0022,protein_0349,0.125
