query_protein,train_protein,similarity_score
protein_0020,protein_0141,0.22988505747126436
protein_0020,protein_0142,0.3023255813953488
protein_0020,protein_0143,0.367816091954023
protein_0020,protein_0144,0.3707865168539326
protein_0020,protein_0145,0.1511627906976744
protein_0020,protein_0146,0.13953488372093023
protein_0020,protein_0147,0.375
protein_0020,protein_0148,0.367816091954023
protein_0020,protein_0150,0.36046511627906974
protein_0020,protein_0152,0.14606741573033707
protein_0020,protein_0153,0.21978021978021978
protein_0020,protein_0154,0.22988505747126436
protein_0020,protein_0155,0.18181818181818182
protein_0020,protein_0156,0.1415929203539823
protein_0020,protein_0157,0.1702127659574468
protein_0020,protein_0158,0.18181818181818182
protein_0020,protein_0159,0.28735632183908044
protein_0020,protein_0161,0.15384615384615385
protein_0020,protein_0162,0.39080459770114945
protein_0020,protein_0163,0.1650485436893204
protein_0020,protein_0164,0.4482758620689655
protein_0020,protein_0165,0.11363636363636363
protein_0020,protein_0166,0.4367816091954023
protein_0020,protein_0167,0.14782608695652175
protein_0020,protein_0168,0.14414414414414414
protein_0020,protein_0170,0.48863636363636365
protein_0020,protein_0171,0.24719101123595505
protein_0020,protein_0172,0.17796610169491525
protein_0020,protein_0173,0.42528735632183906
protein_0020,protein_0175,0.4482758620689655
protein_0020,protein_0176,0.14893617021276595
protein_0020,protein_0177,0.13953488372093023
protein_0020,protein_0178,0.19658119658119658
protein_0020,protein_0179,0.22033898305084745
protein_0020,protein_0180,0.26136363636363635
protein_0020,protein_0181,0.32967032967032966
protein_0020,protein_0182,0.3563218390804598
protein_0020,protein_0183,0.16216216216216217
protein_0020,protein_0184,0.42528735632183906
protein_0020,protein_0185,0.23469387755102042
protein_0020,protein_0186,0.1834862385321101
protein_0020,protein_0190,0.33707865168539325
protein_0020,protein_0192,0.42528735632183906
protein_0020,protein_0193,0.3793103448275862
protein_0020,protein_0194,0.20689655172413793
protein_0020,protein_0195,0.3563218390804598
protein_0020,protein_0196,0.3333333333333333
protein_0020,protein_0197,0.3372093023255814
protein_0020,protein_0198,0.3448275862068966
protein_0020,protein_0199,0.25555555555555554
protein_0020,protein_0200,0.3333333333333333
protein_0020,protein_0201,0.1559633027522936
protein_0020,protein_0202,0.39080459770114945
protein_0020,protein_0203,0.17073170731707318
protein_0020,protein_0204,0.1590909090909091
protein_0020,protein_0205,0.11848341232227488
protein_0020,protein_0206,0.3448275862068966
protein_0020,protein_0207,0.18461538461538463
protein_0020,protein_0208,0.1320754716981132
protein_0020,protein_0209,0.21839080459770116
protein_0020,protein_0210,0.3372093023255814
protein_0020,protein_0211,0.18085106382978725
protein_0020,protein_0212,0.13186813186813187
protein_0020,protein_0213,0.367816091954023
protein_0020,protein_0215,0.12903225806451613
protein_0020,protein_0216,0.15
protein_0020,protein_0217,0.16091954022988506
protein_0020,protein_0218,0.13533834586466165
protein_0020,protein_0219,0.15126050420168066
protein_0020,protein_0220,0.3956043956043956
protein_0020,protein_0221,0.1590909090909091
protein_0020,protein_0222,0.2558139534883721
protein_0020,protein_0223,0.08139534883720931
protein_0020,protein_0224,0.16279069767441862
protein_0020,protein_0225,0.17
protein_0020,protein_0226,0.15517241379310345
protein_0020,protein_0227,0.13186813186813187
protein_0020,protein_0228,0.22580645161290322
protein_0020,protein_0229,0.09090909090909091
protein_0020,protein_0230,0.20224719101123595
protein_0020,protein_0231,0.4
protein_0020,protein_0232,0.1744186046511628
protein_0020,protein_0233,0.09448818897637795
protein_0020,protein_0234,0.13274336283185842
protein_0020,protein_0236,0.25287356321839083
protein_0020,protein_0237,0.25287356321839083
protein_0020,protein_0238,0.14925373134328357
protein_0020,protein_0239,0.4606741573033708
protein_0020,protein_0240,0.41379310344827586
protein_0020,protein_0241,0.45977011494252873
protein_0020,protein_0242,0.16091954022988506
protein_0020,protein_0244,0.16279069767441862
protein_0020,protein_0245,0.17543859649122806
protein_0020,protein_0246,0.1559633027522936
protein_0020,protein_0247,0.17045454545454544
protein_0020,protein_0248,0.4367816091954023
protein_0020,protein_0249,0.4065934065934066
protein_0020,protein_0250,0.15841584158415842
protein_0020,protein_0251,0.125
protein_0020,protein_0253,0.1504424778761062
protein_0020,protein_0254,0.1797752808988764
protein_0020,protein_0255,0.15028901734104047
protein_0020,protein_0256,0.14285714285714285
protein_0020,protein_0258,0.3023255813953488
protein_0020,protein_0259,0.13793103448275862
protein_0020,protein_0260,0.13793103448275862
protein_0020,protein_0261,0.1282051282051282
protein_0020,protein_0262,0.11594202898550725
protein_0020,protein_0263,0.07194244604316546
protein_0020,protein_0264,0.367816091954023
protein_0020,protein_0265,0.367816091954023
protein_0020,protein_0266,0.16483516483516483
protein_0020,protein_0267,0.16091954022988506
protein_0020,protein_0268,0.12222222222222222
protein_0020,protein_0269,0.14655172413793102
protein_0020,protein_0271,0.19767441860465115
protein_0020,protein_0272,0.25287356321839083
protein_0020,protein_0273,0.27586206896551724
protein_0020,protein_0274,0.24175824175824176
protein_0020,protein_0275,0.14285714285714285
protein_0020,protein_0277,0.1595744680851064
protein_0020,protein_0278,0.2111111111111111
protein_0020,protein_0279,0.3218390804597701
protein_0020,protein_0280,0.3218390804597701
protein_0020,protein_0281,0.11504424778761062
protein_0020,protein_0282,0.10465116279069768
protein_0020,protein_0283,0.10091743119266056
protein_0020,protein_0284,0.25842696629213485
protein_0020,protein_0285,0.367816091954023
protein_0020,protein_0286,0.16279069767441862
protein_0020,protein_0287,0.2037037037037037
protein_0020,protein_0288,0.41379310344827586
protein_0020,protein_0289,0.12790697674418605
protein_0020,protein_0290,0.1308411214953271
protein_0020,protein_0291,0.2413793103448276
protein_0020,protein_0292,0.1797752808988764
protein_0020,protein_0294,0.2413793103448276
protein_0020,protein_0295,0.14942528735632185
protein_0020,protein_0296,0.12389380530973451
protein_0020,protein_0297,0.11627906976744186
protein_0020,protein_0298,0.17045454545454544
protein_0020,protein_0299,0.15384615384615385
protein_0020,protein_0300,0.14414414414414414
protein_0020,protein_0301,0.14772727272727273
protein_0020,protein_0302,0.11981566820276497
protein_0020,protein_0303,0.21839080459770116
protein_0020,protein_0304,0.1744186046511628
protein_0020,protein_0305,0.1650485436893204
protein_0020,protein_0306,0.17073170731707318
protein_0020,protein_0307,0.1440677966101695
protein_0020,protein_0309,0.17475728155339806
protein_0020,protein_0310,0.1834862385321101
protein_0020,protein_0311,0.7126436781609196
protein_0020,protein_0312,0.3793103448275862
protein_0020,protein_0314,0.1568627450980392
protein_0020,protein_0315,0.15702479338842976
protein_0020,protein_0316,0.13953488372093023
protein_0020,protein_0317,0.12396694214876033
protein_0020,protein_0318,0.1592920353982301
protein_0020,protein_0319,0.3333333333333333
protein_0020,protein_0320,0.42391304347826086
protein_0020,protein_0321,0.17391304347826086
protein_0020,protein_0322,0.3333333333333333
protein_0020,protein_0323,0.23863636363636365
protein_0020,protein_0324,0.12790697674418605
protein_0020,protein_0325,0.16071428571428573
protein_0020,protein_0326,0.15217391304347827
protein_0020,protein_0327,0.34782608695652173
protein_0020,protein_0328,0.1743119266055046
protein_0020,protein_0329,0.1743119266055046
protein_0020,protein_0331,0.13953488372093023
protein_0020,protein_0332,0.25
protein_0020,protein_0333,0.26666666666666666
protein_0020,protein_0334,0.21739130434782608
protein_0020,protein_0335,0.1346153846153846
protein_0020,protein_0336,0.17045454545454544
protein_0020,protein_0337,0.2967032967032967
protein_0020,protein_0338,0.27586206896551724
protein_0020,protein_0339,0.19101123595505617
protein_0020,protein_0340,0.12264150943396226
protein_0020,protein_0341,0.24509803921568626
protein_0020,protein_0342,0.13953488372093023
protein_0020,protein_0345,0.17699115044247787
protein_0020,protein_0346,0.17699115044247787
protein_0020,protein_0347,0.18888888888888888
protein_0020,protein_0349,0.1388888888888889
protein_0020,protein_0350,0.36666666666666664
protein_0020,protein_0351,0.32954545454545453
protein_0020,protein_0352,0.14606741573033707
protein_0020,protein_0353,0.15254237288135594
protein_0020,protein_0354,0.19540229885057472
protein_0020,protein_0355,0.2840909090909091
protein_0020,protein_0356,0.13953488372093023
protein_0020,protein_0357,0.13333333333333333
protein_0020,protein_0358,0.36666666666666664
protein_0020,protein_0360,0.3977272727272727
protein_0020,protein_0361,0.15267175572519084
protein_0020,protein_0362,0.20689655172413793
protein_0020,protein_0363,0.20689655172413793
protein_0020,protein_0364,0.22988505747126436
protein_0020,protein_0365,0.23255813953488372
protein_0020,protein_0366,0.23255813953488372
protein_0020,protein_0367,0.1559633027522936
protein_0020,protein_0368,0.18
protein_0020,protein_0369,0.17204301075268819
protein_0020,protein_0370,0.37777777777777777
protein_0020,protein_0371,0.3488372093023256
protein_0020,protein_0373,0.2
protein_0020,protein_0374,0.13559322033898305
protein_0020,protein_0375,0.39080459770114945
protein_0020,protein_0376,0.19090909090909092
protein_0020,protein_0377,0.3563218390804598
protein_0020,protein_0378,0.18018018018018017
protein_0020,protein_0379,0.16279069767441862
protein_0020,protein_0380,0.16279069767441862
protein_0020,protein_0381,0.16279069767441862
protein_0020,protein_0382,0.26436781609195403
protein_0020,protein_0383,0.1839080459770115
protein_0020,protein_0384,0.3563218390804598
protein_0020,protein_0385,0.1651376146788991
protein_0020,protein_0386,0.1415929203539823
protein_0020,protein_0387,0.15384615384615385
protein_0020,protein_0388,0.1511627906976744
protein_0020,protein_0389,0.12790697674418605
protein_0020,protein_0390,0.3333333333333333
protein_0020,protein_0391,0.21739130434782608
protein_0020,protein_0392,0.4318181818181818
protein_0020,protein_0393,0.42045454545454547
protein_0020,protein_0394,0.1826086956521739
protein_0020,protein_0395,0.17525773195876287
protein_0020,protein_0396,0.14035087719298245
protein_0020,protein_0398,0.13114754098360656
protein_0021,protein_0000,0.18478260869565216
protein_0021,protein_0001,0.18292682926829268
protein_0021,protein_0002,0.24096385542168675
protein_0021,protein_0003,0.14444444444444443
protein_0021,protein_0004,0.18556701030927836
protein_0021,protein_0005,0.2823529411764706
protein_0021,protein_0006,0.1326530612244898
protein_0021,protein_0007,0.1590909090909091
protein_0021,protein_0008,0.15
protein_0021,protein_0009,0.10869565217391304
protein_0021,protein_0010,0.16483516483516483
protein_0021,protein_0011,0.125
protein_0021,protein_0012,0.12359550561797752
protein_0021,protein_0013,0.16666666666666666
protein_0021,protein_0014,0.22330097087378642
protein_0021,protein_0015,0.16161616161616163
protein_0021,protein_0016,0.13333333333333333
protein_0021,protein_0017,0.15625
protein_0021,protein_0018,0.14772727272727273
protein_0021,protein_0019,0.1511627906976744
protein_0021,protein_0022,0.1978021978021978
protein_0021,protein_0023,0.18478260869565216
protein_0021,protein_0024,0.1440677966101695
protein_0021,protein_0025,0.2
protein_0021,protein_0026,0.15555555555555556
protein_0021,protein_0027,0.16161616161616163
protein_0021,protein_0028,0.1320754716981132
protein_0021,protein_0029,0.15853658536585366
protein_0021,protein_0030,0.12605042016806722
protein_0021,protein_0031,0.1717171717171717
protein_0021,protein_0032,0.19101123595505617
protein_0021,protein_0033,0.20212765957446807
protein_0021,protein_0034,0.13636363636363635
protein_0021,protein_0035,0.19090909090909092
protein_0021,protein_0036,0.15476190476190477
protein_0021,protein_0037,0.20833333333333334
protein_0021,protein_0038,0.20833333333333334
protein_0021,protein_0039,0.17708333333333334
protein_0021,protein_0040,0.10638297872340426
protein_0021,protein_0041,0.16483516483516483
protein_0021,protein_0042,0.15555555555555556
protein_0021,protein_0043,0.1485148514851485
protein_0021,protein_0044,0.15
protein_0021,protein_0045,0.20454545454545456
protein_0021,protein_0046,0.17525773195876287
protein_0021,protein_0047,0.18446601941747573
protein_0021,protein_0049,0.16842105263157894
protein_0021,protein_0051,0.1927710843373494
protein_0021,protein_0052,0.14893617021276595
protein_0021,protein_0053,0.11235955056179775
protein_0021,protein_0055,0.11475409836065574
protein_0021,protein_0056,0.1509433962264151
protein_0021,protein_0057,0.16483516483516483
protein_0021,protein_0059,0.13592233009708737
protein_0021,protein_0060,0.16161616161616163
protein_0021,protein_0061,0.24242424242424243
protein_0021,protein_0062,0.18681318681318682
protein_0021,protein_0063,0.09389671361502347
protein_0021,protein_0064,0.14285714285714285
protein_0021,protein_0065,0.1941747572815534
protein_0021,protein_0066,0.15841584158415842
protein_0021,protein_0067,0.16483516483516483
protein_0021,protein_0068,0.13636363636363635
protein_0021,protein_0069,0.15555555555555556
protein_0021,protein_0070,0.17894736842105263
protein_0021,protein_0072,0.16091954022988506
protein_0021,protein_0073,0.1276595744680851
protein_0021,protein_0074,0.1111111111111111
protein_0021,protein_0075,0.18095238095238095
protein_0021,protein_0076,0.1590909090909091
protein_0021,protein_0077,0.19101123595505617
protein_0021,protein_0078,0.15315315315315314
protein_0021,protein_0079,0.15315315315315314
protein_0021,protein_0080,0.17346938775510204
protein_0021,protein_0081,0.12631578947368421
protein_0021,protein_0082,0.1792452830188679
protein_0021,protein_0083,0.13043478260869565
protein_0021,protein_0084,0.18478260869565216
protein_0021,protein_0085,0.16037735849056603
protein_0021,protein_0086,0.16666666666666666
protein_0021,protein_0088,0.25555555555555554
protein_0021,protein_0089,0.14782608695652175
protein_0021,protein_0090,0.1565217391304348
protein_0021,protein_0091,0.13675213675213677
protein_0021,protein_0092,0.13675213675213677
protein_0021,protein_0093,0.13636363636363635
protein_0021,protein_0094,0.17886178861788618
protein_0021,protein_0095,0.13392857142857142
protein_0021,protein_0096,0.21359223300970873
protein_0021,protein_0097,0.12643678160919541
protein_0021,protein_0098,0.13186813186813187
protein_0021,protein_0100,0.2073170731707317
protein_0021,protein_0101,0.11956521739130435
protein_0021,protein_0103,0.16842105263157894
protein_0021,protein_0104,0.16129032258064516
protein_0021,protein_0105,0.0975609756097561
protein_0021,protein_0107,0.18888888888888888
protein_0021,protein_0108,0.16853932584269662
protein_0021,protein_0109,0.2
protein_0021,protein_0110,0.14606741573033707
protein_0021,protein_0111,0.14772727272727273
protein_0021,protein_0112,0.12871287128712872
protein_0021,protein_0113,0.16666666666666666
protein_0021,protein_0114,0.2222222222222222
protein_0021,protein_0115,0.14285714285714285
protein_0021,protein_0116,0.16363636363636364
protein_0021,protein_0117,0.16363636363636364
protein_0021,protein_0118,0.17073170731707318
protein_0021,protein_0119,0.18811881188118812
protein_0021,protein_0120,0.11363636363636363
protein_0021,protein_0122,0.21495327102803738
protein_0021,protein_0123,0.15853658536585366
protein_0021,protein_0124,0.17391304347826086
protein_0021,protein_0125,0.18181818181818182
protein_0021,protein_0126,0.15
protein_0021,protein_0127,0.16483516483516483
protein_0021,protein_0128,0.18478260869565216
protein_0021,protein_0129,0.13186813186813187
protein_0021,protein_0131,0.15853658536585366
protein_0021,protein_0132,0.1559633027522936
protein_0021,protein_0133,0.1559633027522936
protein_0021,protein_0134,0.20454545454545456
protein_0021,protein_0135,0.10714285714285714
protein_0021,protein_0136,0.1487603305785124
protein_0021,protein_0137,0.1322314049586777
protein_0021,protein_0138,0.1322314049586777
protein_0021,protein_0139,0.16470588235294117
protein_0021,protein_0140,0.14772727272727273
protein_0021,protein_0141,0.21649484536082475
protein_0021,protein_0142,0.16483516483516483
protein_0021,protein_0143,0.17582417582417584
protein_0021,protein_0144,0.1348314606741573
protein_0021,protein_0145,0.17647058823529413
protein_0021,protein_0146,0.13186813186813187
protein_0021,protein_0147,0.17582417582417584
protein_0021,protein_0148,0.17391304347826086
protein_0021,protein_0150,0.19540229885057472
protein_0021,protein_0152,0.16483516483516483
protein_0021,protein_0153,0.15841584158415842
protein_0021,protein_0154,0.1553398058252427
protein_0021,protein_0155,0.13559322033898305
protein_0021,protein_0156,0.15454545454545454
protein_0021,protein_0157,0.2988505747126437
protein_0021,protein_0158,0.15294117647058825
protein_0021,protein_0159,0.20430107526881722
protein_0021,protein_0161,0.10743801652892562
protein_0021,protein_0162,0.14634146341463414
protein_0021,protein_0163,0.12871287128712872
protein_0021,protein_0164,0.13333333333333333
protein_0021,protein_0165,0.15853658536585366
protein_0021,protein_0166,0.16666666666666666
protein_0021,protein_0167,0.16216216216216217
protein_0021,protein_0168,0.16216216216216217
protein_0021,protein_0170,0.10843373493975904
protein_0021,protein_0171,0.0898876404494382
protein_0021,protein_0172,0.11666666666666667
protein_0021,protein_0173,0.15789473684210525
protein_0021,protein_0175,0.14893617021276595
protein_0021,protein_0176,0.1411764705882353
protein_0021,protein_0177,0.15853658536585366
protein_0021,protein_0178,0.12389380530973451
protein_0021,protein_0179,0.12389380530973451
protein_0021,protein_0180,0.1702127659574468
protein_0021,protein_0181,0.16483516483516483
protein_0021,protein_0182,0.14772727272727273
protein_0021,protein_0183,0.18811881188118812
protein_0021,protein_0184,0.16
protein_0021,protein_0185,0.19318181818181818
protein_0021,protein_0186,0.17592592592592593
protein_0021,protein_0190,0.1875
protein_0021,protein_0192,0.16091954022988506
protein_0021,protein_0193,0.1956521739130435
protein_0021,protein_0194,0.17391304347826086
protein_0021,protein_0195,0.15217391304347827
protein_0021,protein_0196,0.15789473684210525
protein_0021,protein_0197,0.11363636363636363
protein_0021,protein_0198,0.16494845360824742
protein_0021,protein_0199,0.20408163265306123
protein_0021,protein_0200,0.15555555555555556
protein_0021,protein_0201,0.12871287128712872
protein_0021,protein_0202,0.125
protein_0021,protein_0203,0.152
protein_0021,protein_0204,0.19047619047619047
protein_0021,protein_0205,0.11374407582938388
protein_0021,protein_0206,0.13636363636363635
protein_0021,protein_0207,0.11666666666666667
protein_0021,protein_0208,0.19658119658119658
protein_0021,protein_0209,0.13
protein_0021,protein_0210,0.1590909090909091
protein_0021,protein_0211,0.20481927710843373
protein_0021,protein_0212,0.16842105263157894
protein_0021,protein_0213,0.20430107526881722
protein_0021,protein_0215,0.17073170731707318
protein_0021,protein_0216,0.14583333333333334
protein_0021,protein_0217,0.2289156626506024
protein_0021,protein_0218,0.16
protein_0021,protein_0219,0.11904761904761904
protein_0021,protein_0220,0.18181818181818182
protein_0021,protein_0221,0.0989010989010989
protein_0021,protein_0222,0.2
protein_0021,protein_0223,0.14285714285714285
protein_0021,protein_0224,0.1686746987951807
protein_0021,protein_0225,0.23809523809523808
protein_0021,protein_0226,0.24468085106382978
protein_0021,protein_0227,0.10843373493975904
protein_0021,protein_0228,0.18085106382978725
protein_0021,protein_0229,0.19767441860465115
protein_0021,protein_0230,0.12087912087912088
protein_0021,protein_0231,0.14130434782608695
protein_0021,protein_0232,0.17073170731707318
protein_0021,protein_0233,0.13178294573643412
protein_0021,protein_0234,0.16666666666666666
protein_0021,protein_0236,0.16083916083916083
protein_0021,protein_0237,0.16083916083916083
protein_0021,protein_0238,0.12878787878787878
protein_0021,protein_0239,0.17142857142857143
protein_0021,protein_0240,0.14444444444444443
protein_0021,protein_0241,0.18888888888888888
protein_0021,protein_0242,0.14634146341463414
protein_0021,protein_0244,0.23170731707317074
protein_0021,protein_0245,0.12037037037037036
protein_0021,protein_0246,0.18681318681318682
protein_0021,protein_0247,0.1411764705882353
protein_0021,protein_0248,0.2159090909090909
protein_0021,protein_0249,0.1797752808988764
protein_0021,protein_0250,0.21348314606741572
protein_0021,protein_0251,0.24444444444444444
protein_0021,protein_0253,0.1504424778761062
protein_0021,protein_0254,0.23333333333333334
protein_0021,protein_0255,0.08670520231213873
protein_0021,protein_0256,0.14285714285714285
protein_0021,protein_0258,0.12903225806451613
protein_0021,protein_0259,0.1744186046511628
protein_0021,protein_0260,0.1744186046511628
protein_0021,protein_0261,0.1782178217821782
protein_0021,protein_0262,0.15827338129496402
protein_0021,protein_0263,0.1386861313868613
protein_0021,protein_0264,0.1875
protein_0021,protein_0265,0.1875
protein_0021,protein_0266,0.18691588785046728
protein_0021,protein_0267,0.17582417582417584
protein_0021,protein_0268,0.19767441860465115
protein_0021,protein_0269,0.16129032258064516
protein_0021,protein_0271,0.17073170731707318
protein_0021,protein_0272,0.16666666666666666
protein_0021,protein_0273,0.1625
protein_0021,protein_0274,0.18947368421052632
protein_0021,protein_0275,0.21
protein_0021,protein_0277,0.17073170731707318
protein_0021,protein_0278,0.15625
protein_0021,protein_0279,0.11494252873563218
protein_0021,protein_0280,0.08536585365853659
protein_0021,protein_0281,0.11666666666666667
protein_0021,protein_0282,0.13253012048192772
protein_0021,protein_0283,0.11009174311926606
protein_0021,protein_0284,0.20754716981132076
protein_0021,protein_0285,0.125
protein_0021,protein_0286,0.14634146341463414
protein_0021,protein_0287,0.14035087719298245
protein_0021,protein_0288,0.14634146341463414
protein_0021,protein_0289,0.24096385542168675
protein_0021,protein_0290,0.17475728155339806
protein_0021,protein_0291,0.19047619047619047
protein_0021,protein_0292,0.18292682926829268
protein_0021,protein_0294,0.19047619047619047
protein_0021,protein_0295,0.15853658536585366
protein_0021,protein_0296,0.18584070796460178
protein_0021,protein_0297,0.15853658536585366
protein_0021,protein_0298,0.17073170731707318
protein_0021,protein_0299,0.23863636363636365
protein_0021,protein_0300,0.20224719101123595
protein_0021,protein_0301,0.20224719101123595
protein_0021,protein_0302,0.10599078341013825
protein_0021,protein_0303,0.18072289156626506
protein_0021,protein_0304,0.25
protein_0021,protein_0305,0.21428571428571427
protein_0021,protein_0306,0.11475409836065574
protein_0021,protein_0307,0.09322033898305085
protein_0021,protein_0309,0.19148936170212766
protein_0021,protein_0310,0.2524271844660194
protein_0021,protein_0311,0.12
protein_0021,protein_0312,0.1956521739130435
protein_0021,protein_0314,0.1568627450980392
protein_0021,protein_0315,0.17796610169491525
protein_0021,protein_0316,0.21839080459770116
protein_0021,protein_0317,0.13592233009708737
protein_0021,protein_0318,0.13445378151260504
protein_0021,protein_0319,0.09090909090909091
protein_0021,protein_0320,0.2087912087912088
protein_0021,protein_0321,0.15463917525773196
protein_0021,protein_0322,0.1411764705882353
protein_0021,protein_0323,0.15384615384615385
protein_0021,protein_0324,0.15217391304347827
protein_0021,protein_0325,0.15454545454545454
protein_0021,protein_0326,0.16304347826086957
protein_0021,protein_0327,0.11827956989247312
protein_0021,protein_0328,0.1574074074074074
protein_0021,protein_0329,0.1574074074074074
protein_0021,protein_0331,0.15853658536585366
protein_0021,protein_0332,0.22641509433962265
protein_0021,protein_0333,0.17142857142857143
protein_0021,protein_0334,0.16666666666666666
protein_0021,protein_0335,0.1568627450980392
protein_0021,protein_0336,0.15476190476190477
protein_0021,protein_0337,0.1595744680851064
protein_0021,protein_0338,0.18085106382978725
protein_0021,protein_0339,0.18292682926829268
protein_0021,protein_0340,0.12871287128712872
protein_0021,protein_0341,0.14953271028037382
protein_0021,protein_0342,0.19047619047619047
protein_0021,protein_0345,0.18584070796460178
protein_0021,protein_0346,0.18584070796460178
protein_0021,protein_0347,0.18292682926829268
protein_0021,protein_0349,0.13861386138613863
